CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEALVW227bOBB9ToD8g566CZAa1M1JBejBteXEaG4buUlbGAgYm3G4lUiHonIp8lX9hP2ynSElmU52H9cv1jkkZ4Zz5Y8+ufZGVFNvzAuWeFdMVVwKz+/5O9tDqdSUVdq7k8q75mIhn6rEy8+8YR765FsQkU/BYdj3vKt+L+75QUh6IYCoR3pB5PskRiH5E2Mrb6zYQ83E/CXxhlJoJQvvShaaLtnONqhnSfQx8D8GJABp3pSXLPGDJPKTOEQzypIJvbOdPa8uqCpplcDX9GXF0snoJpvkV/n48s+jDx8/DLRmoqZFznRKAE+q7JL9xeY6naqaGWKySVh0KhfMHJgqKm7G6uHmOPUJ2WBOgEEJgmvAzKwjMeaCFoYhPeKjSCqW7OaYL+/TsIOnfJHGHTqRTw4a1FpmIvWdzcIcNWb5RkehmQKj4jU4dcGJC6x16I5RfpOdGQn4iXzQ2Gw2NorttTRbKrgIcuZEx2A0NpkLprhcWK7CAyNW0Bezr3HrmoitF5mYPvF5Y1fOBRuUq0kaxQ76Cp41Mj/TiuEaab+7lUl1ApvTMS0q1ALJQMvKJAK6C+6XF3LFvpi9w3s2/9nItrGFTL6QXOjKwBFb1HN9zZUjT+ojyq1DhrVSkHQdbtaCt4vBRt74Ni02MidoOIcKu+xpmQgZB8fWUy3su2ngu8EOXBC6IHJB7IK+Cw4MwChC2pn88403XSZ4x4TvmCjtv2Hid0w/PXzDHBjmlAroBI3yYJOwuh0ifEvYizqEVewQ/bfEgSGw5Z1RSNJhMvtaQeeblYKRQ598imYjVv3UcjU74d/rGfYlEvmxdwst7L6k6qdpiYpVKykqNoN+F89L6ERAzeAvGNwQEvb0s260XFB9//9qaZpkaqoEMqatxJyWq4Jh6aq2QVkK99icO6vLW1yFz0zQ24INnrmtqrYwOiKbPFZY1sCdz1dXtKihpHvhpzDySUDiQ/jrGwtyuFX2iAa1MlAfxglbNzYGW4OPpoZTnAUmMBD918aKa8p1zuZSLBoZryD3X8g1lT2DBtyF9YlZZkUaTyCNWt7R56J4mYh5C5vkRAl2W3+9J3uzaW11ZORPLteWKmzeYBAxoPEUIZ0dl3XhWGbUOcw3TuWtfODWEw4rkG0xJDQMOzhrjQiBskU9pCuDQDAMW+hSlWmhrXEwfuy+tQ/Yl+Nfm9yIL7mGUVpKqe+dyxj+5GI8lDVEF/2NPdnMP+uEpZDK4FYdZEquYcZ3BEwHTU/pMyxgm4MQZs0Efv1wpEDugotlx0DTl0/5irFFY+A6G6x7ht/Xqmq9qnV31EI7wEyqD1lR2IwbKEZTrCgMJ3x3Z0ZMVFy/pAe9Q0Tg2QLcvkwDhKYIcNdlZkOK31MGE8YIysE8kQb9LofXET5i2uxrLbXr5loddynBTXB1y4Z2Vv/HU2dSVVjGsLutdCvxgtbVunAbThZUtduGL/OCVWaejNgdrQudNbVowCQl+6ByIu5k0oy53XKwB9N4f4D6dL1gSCRRvI9vIU4L53Fnxtq+eRI5LPadfTt6kz6BJ2Gt7uiceej3xFv/MBzwHLQBcBfMDwKys33N4F2l3615Aayhwt3jX3tbaOjuYG/rM6fV7tXeFibALrSIva0ff+ye35e9efn3bwQuOhptZUptmVKCp6ZYeE1Lrf4BkKScpSQLAAA=
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	0.0450000017881393	1.77453207969666	1.23906E+01	5.33322E-02	3.38800E-03	5.34397E-02	3.6349	0
7.91234E+03	0.0450000017881393	1.77453207969666	1.72476E+01	5.43132E-02	1.17164E-03	5.43258E-02	1.23579	0
6.26052E+03	0.0450000017881393	1.77453207969666	2.21206E+01	5.65506E-02	-7.73004E-04	5.65559E-02	-0.783141	0
4.95354E+03	0.0450000017881393	1.77453207969666	2.69970E+01	5.75332E-02	-2.62931E-03	5.75933E-02	-2.61664	0
3.91941E+03	0.0450000017881393	1.77453207969666	3.19073E+01	5.96972E-02	-3.84936E-03	5.98212E-02	-3.6894	0
3.10117E+03	0.0450000017881393	1.77453207969666	3.68587E+01	6.12543E-02	-5.22891E-03	6.14771E-02	-4.87916	0
2.45375E+03	0.0450000017881393	1.77453207969666	4.10716E+01	6.25771E-02	-6.79190E-03	6.29446E-02	-6.19444	0
1.94149E+03	0.0450000017881393	1.77453207969666	4.35680E+01	6.37933E-02	-8.25543E-03	6.43253E-02	-7.37361	0
1.53618E+03	0.0450000017881393	1.77453207969666	4.61639E+01	6.60725E-02	-9.43847E-03	6.67433E-02	-8.12971	0
1.21547E+03	0.0450000017881393	1.77453207969666	4.88084E+01	6.75343E-02	-1.03127E-02	6.83171E-02	-8.68221	0
9.61725E+02	0.0450000017881393	1.77453207969666	5.16615E+01	6.92467E-02	-1.15926E-02	7.02104E-02	-9.50379	0
7.60950E+02	0.0450000017881393	1.77453207969666	5.51058E+01	7.06996E-02	-1.24823E-02	7.17930E-02	-10.0126	0
6.02090E+02	0.0450000017881393	1.77453207969666	5.87838E+01	7.21906E-02	-1.31726E-02	7.33825E-02	-10.341	0
4.76394E+02	0.0450000017881393	1.77453207969666	6.23077E+01	7.52219E-02	-1.42251E-02	7.65552E-02	-10.7086	0
3.76939E+02	0.0450000017881393	1.77453207969666	6.53035E+01	7.75433E-02	-1.48162E-02	7.89461E-02	-10.8172	0
2.98247E+02	0.0450000017881393	1.77453207969666	6.85775E+01	8.04032E-02	-1.52843E-02	8.18431E-02	-10.7632	0
2.35983E+02	0.0450000017881393	1.77453207969666	7.20859E+01	8.26340E-02	-1.55197E-02	8.40788E-02	-10.6369	0
1.86718E+02	0.0450000017881393	1.77453207969666	7.77042E+01	8.58556E-02	-1.54351E-02	8.72320E-02	-10.1917	0
1.47738E+02	0.0450000017881393	1.77453207969666	8.20971E+01	8.84130E-02	-1.50412E-02	8.96833E-02	-9.65498	0
1.16895E+02	0.0450000017881393	1.77453207969666	8.69471E+01	9.05092E-02	-1.46181E-02	9.16821E-02	-9.17458	0
9.24915E+01	0.0450000017881393	1.77453207969666	8.92687E+01	9.34165E-02	-1.39988E-02	9.44596E-02	-8.52257	0
7.31824E+01	0.0450000017881393	1.77453207969666	9.18779E+01	9.40525E-02	-1.26881E-02	9.49045E-02	-7.68307	0
5.79045E+01	0.0450000017881393	1.77453207969666	9.40901E+01	9.60959E-02	-1.19472E-02	9.68357E-02	-7.087	0
4.58160E+01	0.0450000017881393	1.77453207969666	9.64887E+01	9.67024E-02	-1.10943E-02	9.73367E-02	-6.54471	0
3.62512E+01	0.0450000017881393	1.77453207969666	9.83395E+01	9.73217E-02	-1.01565E-02	9.78502E-02	-5.95785	0
2.86832E+01	0.0450000017881393	1.77453207969666	1.00318E+02	9.78073E-02	-9.23236E-03	9.82421E-02	-5.39236	0
2.26951E+01	0.0450000017881393	1.77453207969666	1.02498E+02	9.88866E-02	-8.42474E-03	9.92448E-02	-4.86961	0
1.79572E+01	0.0450000017881393	1.77453207969666	1.04921E+02	1.00033E-01	-8.01772E-03	1.00354E-01	-4.58251	0
1.42083E+01	0.0450000017881393	1.77453207969666	1.07620E+02	1.01071E-01	-7.45429E-03	1.01346E-01	-4.21808	0
1.12421E+01	0.0450000017881393	1.77453207969666	1.10684E+02	1.01574E-01	-5.92456E-03	1.01747E-01	-3.33814	0
8.89514E+00	0.0450000017881393	1.77453207969666	1.15081E+02	1.03312E-01	-4.98968E-03	1.03432E-01	-2.76508	0
7.03814E+00	0.0450000017881393	1.77453207969666	1.19707E+02	1.05004E-01	-6.38902E-03	1.05198E-01	-3.48189	0
5.56882E+00	0.0450000017881393	1.77453207969666	1.24730E+02	1.06218E-01	-4.80079E-03	1.06326E-01	-2.58787	0
4.40624E+00	0.0450000017881393	1.77453207969666	1.31055E+02	1.06345E-01	-4.99903E-03	1.06462E-01	-2.69137	0
3.48637E+00	0.0450000017881393	1.77453207969666	1.37766E+02	1.07821E-01	-4.44447E-03	1.07913E-01	-2.36044	0
2.75853E+00	0.0450000017881393	1.77453207969666	1.45317E+02	1.10570E-01	-3.75247E-03	1.10634E-01	-1.94373	0
2.18265E+00	0.0450000017881393	1.77453207969666	1.53689E+02	1.10759E-01	-3.72441E-03	1.10821E-01	-1.92592	0
1.72698E+00	0.0450000017881393	1.77453207969666	1.63417E+02	1.13082E-01	-2.92951E-03	1.13120E-01	-1.48398	0
1.36645E+00	0.0450000017881393	1.77453207969666	1.74641E+02	1.12199E-01	-4.85014E-03	1.12303E-01	-2.47525	0
1.08118E+00	0.0450000017881393	1.77453207969666	1.87727E+02	1.13338E-01	-1.95423E-03	1.13355E-01	-0.987821	0
8.55468E-01	0.0450000017881393	1.77453207969666	2.01354E+02	1.11224E-01	-2.43792E-03	1.11251E-01	-1.25566	0
6.76875E-01	0.0450000017881393	1.77453207969666	2.17440E+02	1.14278E-01	-2.48539E-03	1.14305E-01	-1.2459	0
5.35567E-01	0.0450000017881393	1.77453207969666	2.36558E+02	1.13121E-01	-2.29902E-03	1.13145E-01	-1.16429	0
4.23759E-01	0.0450000017881393	1.77453207969666	2.50232E+02	1.12834E-01	-3.20705E-03	1.12879E-01	-1.62807	0
3.35293E-01	0.0450000017881393	1.77453207969666	2.66396E+02	1.12549E-01	-3.92808E-03	1.12617E-01	-1.99887	0
2.65295E-01	0.0450000017881393	1.77453207969666	2.85677E+02	1.15065E-01	-1.86730E-03	1.15080E-01	-0.929727	0
2.09910E-01	0.0450000017881393	1.77453207969666	3.08974E+02	1.16355E-01	-3.42548E-03	1.16405E-01	-1.6863	0
1.66088E-01	0.0450000017881393	1.77453207969666	3.37283E+02	1.15432E-01	-2.74121E-03	1.15464E-01	-1.36037	0
1.31415E-01	0.0450000017881393	1.77453207969666	3.64318E+02	1.15015E-01	-2.44896E-03	1.15041E-01	-1.21979	0
1.03980E-01	0.0450000017881393	1.77453207969666	3.97426E+02	1.14675E-01	-2.89506E-03	1.14712E-01	-1.44617	0
8.22724E-02	0.0450000017881393	1.77453207969666	4.38155E+02	1.16432E-01	-4.35889E-03	1.16514E-01	-2.14399	0
6.50968E-02	0.0450000017881393	1.77453207969666	4.88474E+02	1.15272E-01	-4.06088E-03	1.15344E-01	-2.01762	0
5.15068E-02	0.0450000017881393	1.77453207969666	5.51002E+02	1.16167E-01	-4.00246E-03	1.16236E-01	-1.97331	0
4.07539E-02	0.0450000017881393	1.77453207969666	5.81251E+02	1.16760E-01	-2.45809E-03	1.16786E-01	-1.20604	0
3.22459E-02	0.0450000017881393	1.77453207969666	6.17813E+02	1.15476E-01	-7.86947E-03	1.15744E-01	-3.89857	0
2.55141E-02	0.0450000017881393	1.77453207969666	6.62598E+02	1.20795E-01	-6.71352E-03	1.20981E-01	-3.1811	0
2.01876E-02	0.0450000017881393	1.77453207969666	7.17697E+02	1.23598E-01	-9.37667E-03	1.23953E-01	-4.33839	0
1.59731E-02	0.0450000017881393	1.77453207969666	7.85865E+02	1.23701E-01	-4.13770E-03	1.23770E-01	-1.91578	0
1.26385E-02	0.0450000017881393	1.77453207969666	8.70565E+02	1.27274E-01	-7.91100E-03	1.27519E-01	-3.55678	0
1.00000E-02	0.0450000017881393	1.77453207969666	9.76137E+02	1.27268E-01	-8.64843E-03	1.27562E-01	-3.88752	0
