CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAL1W3VLbOBS+hhnewVddmKEZ+S+AZ3yRJg5kCpTFKbSdzGREIoK2thRkuUCnT9VH2CfbcyTbUWD3dnMTf5+Ozjk6Oj/61ie33ohq6o15wRLvhqmKS+H5PX9vdyiVmrJKe/dSebdcLOVTlXj5pTfMQ598CSJyEhyHfc+76ffinh+EpBcCiHqkF0S+T2JUkj8xtvbGij3WTCxeEm8ohVay8G5koemK7e2CeZZE7wP/fUAC0OZNeckSnyShnxDjRlkyofd2s+f1FVUlrRL4mr6sWToZzbNJfpOPr/88fff+3UBrJmpa5EynBPCkyq7ZX2yh06mqmSEm24RFF3LJzIapomI+Vo/zs9QnZIs5BwY1CK4BM7OOxJgLWhiG9IiPKqlYsfkZXz2kYQcv+DKNO3Qunxw0qLXMROo7wsJsNW75xkahmQKn4g24cMG5C6x3GI5RPs8ujQb8RD5ofDaCjWF7LM1WCg6CnNnRMXgb28wVU1wuLVfhhhEr6IuRa8K6IWIbRSamT3zR+JVzwQblepJGsYM+Q2SNzg+0YrhG2u9uZVKdg3A6pkWFViAZaFmZRMBwwfnyQq7ZRyM7fGCL741ue7eQyVeSC10ZOGLLeqFvuXL0SX1KuQ3IsFYKkq7DzVrwejHYyhvfpsVW5gQN51Bhlz0tEyHj4NhGqoV9Nw1897IDF4QuiFwQu6DvgiMD8BYh7Uz++SaaLhO8YcI3TJT2XzHxG6afHr9ijgxzQQV0gsZ4sE1Y2w4RvibsQR3CGnaI/mviyBDY8i4pJOkwmX2uoPPNSsHIsU9OotmIVd+1XM/O+dd6hn2JRH7s3UELeyip+m5aomLVWoqKzaDfxYsSOhFQM/gLBnNC/Dlum5NoHvhzn8xDMo/7Pf2sG8tXVD/8/5abZpqaaoLMais2p+W6YFjiqm1klkIZm5uXdXmHq/CZCXpXsMEzt9XXFlBHZJMfFZY/cJ8W6xta1FD6vfDkmBwFJ/HRyUkQx8aDHE6a/UCHWh1oD9ewxWMDsbX6w9R6ijPDXCBkya/Gi1vKdc4WUiwbHb9A77+QGyp7BgsohXWM2WhVmkggjVbe0J9E8TIRixY2SYwarFh/I5O9Etp4HRn9k+uNpwqbPDhEDGgiRUjnx3VdOJ4Zcw7zhVN5Jx+5jYTDCmRbDIkPQxH2WidCoGzxD+naIFAMQxm6WWVabescjCkrt4kB+3j2c5sb8RXXMHJLKfWDcxjDn1+Nh7KG28V4Y+82c9IGYSWkMrg1B5mSa3gLdARMEU0v6DMsYDuEK8yaSf3r3akCvUsuVh0Dw0E+5WvGlo2Dm2yw4Rl+3Ziq9brW3VYL7aAzqT5kRWEzbqAYTbHK8Drhu9szYqLi+iU96h0jgsgWEPZVGiA0RYBS15m9UvyeMphERlEO7ok06Hc5vLnhU6aNXOupXTfH6rhrCWGCo1s2tDP9P55Ek6rCMgbpttKtxitaV5vCbThZUNWKDV8WBavM3Bmxe1oXOmtq0YBJSg7B5ETcy6QZh/vl4ACm9uEA7el6yZBIovgQ30ycFs4j0Iy/Q/N0cljsO4d2RCd9Ak/HWt3TBfMw7om3+eF1wLPRXoC7YH5wIXu7twzeX/rNmhfAGhrcP/t5sIOO7g8Odj5wWu3fHOxgAuxDizjY+fbH/qeHsrco//6NwEWno51MqR1TSvAkFUuvaanVP1oQyANMCwAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	0.0450000017881393	1.78178882598877	1.24005E+01	6.39623E-02	1.14499E-03	6.39726E-02	1.02555	0
7.91234E+03	0.0450000017881393	1.78178882598877	1.72526E+01	6.60555E-02	-8.46144E-04	6.60609E-02	-0.733896	0
6.26052E+03	0.0450000017881393	1.78178882598877	2.21107E+01	6.74267E-02	-2.68965E-03	6.74803E-02	-2.28432	0
4.95354E+03	0.0450000017881393	1.78178882598877	2.69973E+01	6.85571E-02	-4.24412E-03	6.86883E-02	-3.54246	0
3.91941E+03	0.0450000017881393	1.78178882598877	3.19187E+01	6.97041E-02	-5.11943E-03	6.98918E-02	-4.20056	0
3.10117E+03	0.0450000017881393	1.78178882598877	3.68556E+01	7.07313E-02	-6.33376E-03	7.10143E-02	-5.11701	0
2.45375E+03	0.0450000017881393	1.78178882598877	4.10796E+01	7.14745E-02	-7.81246E-03	7.19002E-02	-6.23791	0
1.94149E+03	0.0450000017881393	1.78178882598877	4.35660E+01	7.42442E-02	-9.30944E-03	7.48256E-02	-7.14698	0
1.53618E+03	0.0450000017881393	1.78178882598877	4.61523E+01	7.49596E-02	-1.02077E-02	7.56514E-02	-7.75457	0
1.21547E+03	0.0450000017881393	1.78178882598877	4.88207E+01	7.60724E-02	-1.09855E-02	7.68615E-02	-8.21718	0
9.61725E+02	0.0450000017881393	1.78178882598877	5.16739E+01	7.89257E-02	-1.22490E-02	7.98705E-02	-8.82171	0
7.60950E+02	0.0450000017881393	1.78178882598877	5.51047E+01	8.06453E-02	-1.30817E-02	8.16994E-02	-9.21388	0
6.02090E+02	0.0450000017881393	1.78178882598877	5.87886E+01	8.24280E-02	-1.36684E-02	8.35536E-02	-9.41522	0
4.76394E+02	0.0450000017881393	1.78178882598877	6.23097E+01	8.51946E-02	-1.44283E-02	8.64077E-02	-9.61224	0
3.76939E+02	0.0450000017881393	1.78178882598877	6.53036E+01	8.82618E-02	-1.48019E-02	8.94944E-02	-9.52015	0
2.98247E+02	0.0450000017881393	1.78178882598877	6.85803E+01	9.05883E-02	-1.50311E-02	9.18269E-02	-9.42114	0
2.35983E+02	0.0450000017881393	1.78178882598877	7.20824E+01	9.33981E-02	-1.50663E-02	9.46055E-02	-9.16358	0
1.86718E+02	0.0450000017881393	1.78178882598877	7.77062E+01	9.59452E-02	-1.47274E-02	9.70689E-02	-8.7267	0
1.47738E+02	0.0450000017881393	1.78178882598877	8.21026E+01	9.84667E-02	-1.42059E-02	9.94862E-02	-8.2095	0
1.16895E+02	0.0450000017881393	1.78178882598877	8.69484E+01	1.00342E-01	-1.37080E-02	1.01274E-01	-7.77922	0
9.24915E+01	0.0450000017881393	1.78178882598877	8.92722E+01	1.02733E-01	-1.30209E-02	1.03555E-01	-7.22341	0
7.31824E+01	0.0450000017881393	1.78178882598877	9.18708E+01	1.04380E-01	-1.21182E-02	1.05081E-01	-6.62222	0
5.79045E+01	0.0450000017881393	1.78178882598877	9.40948E+01	1.06030E-01	-1.12571E-02	1.06626E-01	-6.06031	0
4.58160E+01	0.0450000017881393	1.78178882598877	9.64819E+01	1.07854E-01	-1.07911E-02	1.08392E-01	-5.71362	0
3.62512E+01	0.0450000017881393	1.78178882598877	9.83334E+01	1.09039E-01	-1.00636E-02	1.09502E-01	-5.27309	0
2.86832E+01	0.0450000017881393	1.78178882598877	1.00316E+02	1.10670E-01	-9.25903E-03	1.11057E-01	-4.78241	0
