CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEAL1W227bOBB9ToD8g566CZAaFHVJakAPri0nRnPbyE3awoDB2IyjrUS6FNUkRb6qn7BftjOkJNPJ7uv6xTqHw5nhcC78FpNbb8Q088Z5wfveDVdVLoXn9/y93aFUasor7d1L5d3mYikfq76XXXjDLPDJFxqSD/Q4iD3vJu5FPZ8GpBcACHukR0PfJxEqyR45X3tjxX/UXCye+95QCq1k4d3IQrMV39sF87wfvqf+e0ooaPOmecn7vt8P4j49QjfKkgu9t5s+ra+YKlnVh6/p85onk9E8nWQ32fj6z5N3798NtOaiZkXGdUIAT6r0mv/FFzqZqpobYrJNWHQul9xsmCom5mP1Y36a+IRsMWfAoAaRa8DcrCMxzgUrDEN6xEeVTKz4/DRfPSRBB8/zZRJ16Ew+OmhQa5mKxHeEhdlq3PKNjUJzBU5FG3DugjMXWO8wHKNsnl4YDfiJPG18NoKNYXsszVcKDoKc2dExeBvbzBVXuVxarsINI16wZyPXhHVDRDaKXEwf80XjV5YLPijXkySMHPQZImt0fmQVxzXSfncrk+oMhJMxKyq0AsnAysokAoYLzpcVcs0/GdnhA198b3Tbu4VMvpK50JWBI76sF/o2V44+qU9YbgMyrJWCpOtws0ZfL9KtvPFtWmxlDm04hwq67GmZEBkHRzZSLYzdNPDdy6YuCFwQuiByQeyCIwPwFiHtTP75JpouQ98wwRsmTOJXTPSGiZPjV8yRYc6ZgE7QGKfbhLXtEMFrwh7UIaxhh4hfE0eGwJZ3wSBJh/3Z5wo636wUnBz75EM4G/Hqu5br2Vn+tZ5hXyKhH3l30MIeSqa+m5aoeLWWouIz6HfRooROBNQM/uhgTgid47Y5CefUn/v+PIjnlPb0k24sXzH98P9bbpppYqoJMqut2IyV64Jjiau2kVkKZWxuXtTlHa7CZyrYXcEHT7mtvraAOiKd/Kyw/IG7XKxvWFFD6fdCQkJKqR+FsX8UGA8yOGn6Ex1qdaA9vE9s8dhAbK3+NLWe4MwwFwhZ8tJ4cctynfGFFMtGxwvo/RdyQ6VPYAGlsI4xG61KEwmk0cob+lIUzxOxaGGTxKjBisUbmfSV0Mbr0OifXG88VdjkwSFiQBMpQjo/ruvC8cyYc5gvOZN38kduI+GwAtkWQ+LDUIS91okAKFv8Q7Y2CBTDUIZuVplW2zoHY8rKbWLAP53+2uZG+SrXMHJLKfWDcxjDn12Nh7KG28V4Y+82c9IGYSWkMrg1B5mSaXgLdARMEc3O2RMsYDuEK0ybSf3y7kSB3mUuVh0Dw0E+ZmvOl42Dm2yw4Rl+3Ziq9brW3VYL7aAzqT7kRWEzbqA4S7DK8Drhu9sz4qLK9XNy1DtGBJEtIOyrhCI0RYBS16m9UvyecphERlEG7omExl0Ob274hGsj13pq182xOu5aQpjg6JYN7Ez/jyfRpKqwjEG6rXSr8YrV1aZwG04WTLViw+dFwSszd0b8ntWFTptaNGCSkEMwORH3st+Mw/1ycABT+3CA9nS95Ej0w+gQ30w5K5xHoBl/h+bp5LDYdw7tiO7HBJ6OtbpnC+5h3Pve5ofXAc9GewHugvnBhezt3nJ4f+k3ax6FNTS4f/rrYAcd3R8c7HzMWbV/c7CDCbAPLeJg59sf+5cPZW9R/v0bgYtORjupUjumlOBJKpZe01KrfwC65JQNTAsAAA==
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	0.0450000017881393	1.77129864692688	1.24187E+01	5.22101E-02	2.72844E-03	5.22814E-02	2.99149	0
7.91234E+03	0.0450000017881393	1.77129864692688	1.72620E+01	5.37039E-02	5.57975E-04	5.37068E-02	0.595272	0
6.26052E+03	0.0450000017881393	1.77129864692688	2.21354E+01	5.53275E-02	-1.37007E-03	5.53445E-02	-1.41852	0
4.95354E+03	0.0450000017881393	1.77129864692688	2.70262E+01	5.71491E-02	-3.23250E-03	5.72404E-02	-3.23735	0
3.91941E+03	0.0450000017881393	1.77129864692688	3.19458E+01	5.88396E-02	-4.37344E-03	5.90020E-02	-4.25087	0
3.10117E+03	0.0450000017881393	1.77129864692688	3.68761E+01	6.06470E-02	-5.73759E-03	6.09178E-02	-5.40445	0
2.45375E+03	0.0450000017881393	1.77129864692688	4.10957E+01	6.17640E-02	-7.19058E-03	6.21812E-02	-6.64049	0
1.94149E+03	0.0450000017881393	1.77129864692688	4.35889E+01	6.40216E-02	-8.72842E-03	6.46139E-02	-7.76358	0
1.53618E+03	0.0450000017881393	1.77129864692688	4.61727E+01	6.59651E-02	-9.78212E-03	6.66865E-02	-8.43505	0
1.21547E+03	0.0450000017881393	1.77129864692688	4.88357E+01	6.65092E-02	-1.05434E-02	6.73397E-02	-9.00785	0
9.61725E+02	0.0450000017881393	1.77129864692688	5.16952E+01	6.95670E-02	-1.18622E-02	7.05710E-02	-9.67669	0
7.60950E+02	0.0450000017881393	1.77129864692688	5.51411E+01	7.08911E-02	-1.27150E-02	7.20224E-02	-10.1684	0
6.02090E+02	0.0450000017881393	1.77129864692688	5.87976E+01	7.23714E-02	-1.33462E-02	7.35917E-02	-10.4487	0
4.76394E+02	0.0450000017881393	1.77129864692688	6.23147E+01	7.52762E-02	-1.42656E-02	7.66160E-02	-10.7309	0
3.76939E+02	0.0450000017881393	1.77129864692688	6.53278E+01	7.80179E-02	-1.47921E-02	7.94078E-02	-10.7358	0
2.98247E+02	0.0450000017881393	1.77129864692688	6.85914E+01	8.06778E-02	-1.52629E-02	8.21089E-02	-10.7128	0
2.35983E+02	0.0450000017881393	1.77129864692688	7.21012E+01	8.32960E-02	-1.53420E-02	8.46971E-02	-10.4362	0
1.86718E+02	0.0450000017881393	1.77129864692688	7.77279E+01	8.56215E-02	-1.51051E-02	8.69437E-02	-10.005	0
1.47738E+02	0.0450000017881393	1.77129864692688	8.21294E+01	8.84773E-02	-1.47562E-02	8.96993E-02	-9.46862	0
1.16895E+02	0.0450000017881393	1.77129864692688	8.69591E+01	9.08053E-02	-1.42579E-02	9.19179E-02	-8.9235	0
9.24915E+01	0.0450000017881393	1.77129864692688	8.92817E+01	9.32478E-02	-1.35240E-02	9.42235E-02	-8.25223	0
7.31824E+01	0.0450000017881393	1.77129864692688	9.18891E+01	9.39094E-02	-1.23796E-02	9.47218E-02	-7.50973	0
5.79045E+01	0.0450000017881393	1.77129864692688	9.41079E+01	9.57121E-02	-1.15714E-02	9.64091E-02	-6.89349	0
4.58160E+01	0.0450000017881393	1.77129864692688	9.64949E+01	9.57387E-02	-1.06096E-02	9.63248E-02	-6.32363	0
3.62512E+01	0.0450000017881393	1.77129864692688	9.83536E+01	9.64414E-02	-9.97717E-03	9.69561E-02	-5.90642	0
2.86832E+01	0.0450000017881393	1.77129864692688	1.00336E+02	9.65876E-02	-8.77586E-03	9.69854E-02	-5.19159	0
