CSStudioFile,ID_EISVSFRQG,H4sIAAAAAAAEALVW3VLbOBS+hhnewVddmKEZ/0M944s0cSBToCxOoe1khhHJIXhrS6ksF+j0qfoI+2R7jmQ7Cuxerq/8fZLOOTq/+hq7N86YKeZMihIS5xpkXQjueANvb3ckpJxBrZx7IZ2bgi/FY504+YUzygPP/eyH7jv/OIgd5zoeRAPPD9xBgCAcuAM/9Dw3IiH5I8DamUj43gBfPCfOSHAlRelci1KxFeztonpIwrfe0Vvf9VGaMysqSLwg8cMkPCYzqgq42tvNntaXTFasTvBv9ryGdDq+zab5dT65+vPkzds3Q6WAN6zMQaUu4mmdXcFfsFDpTDagiek2YdC5WII+MJOM307k99vT1HPdLeYMGZLAC4UY9DoRk4KzUjPuwPVIJOMruD0tVg9p0MPzYplGPToTjxYaNkpkPPWszVwf1WZ5WkepQKJR0Qac2+DMBsY6csc4v80utAT6Jd5vbdYbW8XmWgpWEi9CnD7RMxSNbeYSZCGWhqvpwBhK9qz3tW7dEJHxIvDZY7Fo7coLDsNqPU3DyEKf0LNa5ntWA6253X+/Mq3PcHM6YWVNWjAZWFXrRCB34f3yUqzhg947eoDFt1a2iS1m8qUouKo1HMOyWaibQlryhDphhXHIqJESk67H7Zr/ctHfyhvPpMVW5vgtZ1FBnz0dExJj4ch4qoOxnQaeHWzfBoENQhtENohtcKQBRRHTTuefp71pM/4rJnjFhGn8goleMXF6/II50sw549gJWuX+NmF0W0TwkjAXtQij2CLil8SRJqjlXTBM0lEy/1Rj55tXHNxjz30XzsdQf1NiPT8rvjRz6ktu6EXOHbawh4rJb7olSqjXgtcwx34XLSp/jr3IHw7Uk2qFXzL18L8Ib1tiqmsC86Oru5xV6xKoUGXXjgxFe0yGXTTVHa3ib8bZXQnDp8LUUFcGPZFNf9RUxMh9XKyvWdlgAQ9CN4iCyA/j4/CdG2sLcrxM9oMM6mSQPooKNWpqA6bifuiKTanz6zBgrH+1VtywQuWwEHzZyviFcv+F3FDZE2qgXVSNlFNGpPYE0aTlFf2Rl89Tvuhgm4okwWyLN3uyF5s2Voda/vRqY6mkVo0GuRq0nnLd3o6rprQs0+os5nPBxJ34XhhPWCwntsOYvjja8KwxIkDKlPCIrTVCwThasSfVumF2xuGwMfs2PoAPpz+3uXGxKhQOzkoI9WBdRvNnl5ORaDC65G/qwHraGSesuJAad+owU3KFE70ncBYods6ecIGaGoYwa+ftrzcnEuUuC77qGWzx4jFfAyxbAzfZYNwz+rJR1ah1o/qjBppxpVN9BGVpMm4ogaVUSBRO/O/PjIHXhXpOjwbHhNCzJbp9lfoEdRHQrqvMhJT+Z4DzRAvK0Tye+nGfw5sIn4DS+zpLzbq+Vs9dCXQTXt2wgZnM//GwmdY1lTHu7irdSLxkTb0p3JYTJZPdttHzooRaT48x3LOmVFlbixpMU/cQVU75vUjaobZfDQ9w9h4OSZ9qlkBEEkaH9PIpWGk95fQQO9QPIIulvnNoBm0Su/gAbOQ9W4BDfk+czUfhwMefCYC9oD8MyN7uDeArSr1ac3xcI4X7pz8PdsjQ/eHBzvuC1fvXBzuUAPvYIg52vv6x//GhGiyqv38TsNHJeCeTckeXEj4s+dJpW2r9D0o6ItQSCwAA
Freq(Hz)	Ampl(A)	Bias(V)	Time(Sec)	Z'(Ohm.cm²)	Z''(Ohm.cm²)	|Z|(Ohm.cm²)	Phase	Range
1.00000E+04	0.0450000017881393	1.7844523191452	1.24281E+01	6.27009E-02	4.32356E-03	6.28498E-02	3.9446	0
7.91234E+03	0.0450000017881393	1.7844523191452	1.72873E+01	6.34941E-02	2.14639E-03	6.35303E-02	1.93612	0
6.26052E+03	0.0450000017881393	1.7844523191452	2.21592E+01	6.41280E-02	5.74813E-05	6.41280E-02	0.0513572	0
4.95354E+03	0.0450000017881393	1.7844523191452	2.70426E+01	6.43781E-02	-1.75095E-03	6.44020E-02	-1.55794	0
3.91941E+03	0.0450000017881393	1.7844523191452	3.19449E+01	6.51819E-02	-3.10877E-03	6.52560E-02	-2.73058	0
3.10117E+03	0.0450000017881393	1.7844523191452	3.68804E+01	6.59090E-02	-4.58889E-03	6.60686E-02	-3.98277	0
2.45375E+03	0.0450000017881393	1.7844523191452	4.11074E+01	6.68525E-02	-6.06375E-03	6.71270E-02	-5.18274	0
1.94149E+03	0.0450000017881393	1.7844523191452	4.36059E+01	6.82062E-02	-7.44024E-03	6.86108E-02	-6.22547	0
1.53618E+03	0.0450000017881393	1.7844523191452	4.61804E+01	6.95512E-02	-8.41981E-03	7.00590E-02	-6.90259	0
1.21547E+03	0.0450000017881393	1.7844523191452	4.88474E+01	7.06369E-02	-9.11389E-03	7.12224E-02	-7.35194	0
9.61725E+02	0.0450000017881393	1.7844523191452	5.17020E+01	7.27794E-02	-1.00034E-02	7.34636E-02	-7.82613	0
7.60950E+02	0.0450000017881393	1.7844523191452	5.51384E+01	7.44196E-02	-1.05380E-02	7.51620E-02	-8.05962	0
6.02090E+02	0.0450000017881393	1.7844523191452	5.88212E+01	7.59051E-02	-1.08929E-02	7.66827E-02	-8.16661	0
4.76394E+02	0.0450000017881393	1.7844523191452	6.23386E+01	7.82634E-02	-1.12766E-02	7.90716E-02	-8.19904	0
3.76939E+02	0.0450000017881393	1.7844523191452	6.53370E+01	7.98924E-02	-1.13745E-02	8.06980E-02	-8.10287	0
2.98247E+02	0.0450000017881393	1.7844523191452	6.86139E+01	8.19695E-02	-1.14979E-02	8.27720E-02	-7.98481	0
2.35983E+02	0.0450000017881393	1.7844523191452	7.21201E+01	8.37959E-02	-1.14104E-02	8.45692E-02	-7.75425	0
1.86718E+02	0.0450000017881393	1.7844523191452	7.77362E+01	8.57669E-02	-1.13216E-02	8.65109E-02	-7.51979	0
1.47738E+02	0.0450000017881393	1.7844523191452	8.21357E+01	8.73582E-02	-1.11819E-02	8.80710E-02	-7.29425	0
1.16895E+02	0.0450000017881393	1.7844523191452	8.69881E+01	8.87211E-02	-1.11027E-02	8.94132E-02	-7.13303	0
9.24915E+01	0.0450000017881393	1.7844523191452	8.92960E+01	9.05736E-02	-1.09134E-02	9.12288E-02	-6.87056	0
7.31824E+01	0.0450000017881393	1.7844523191452	9.19004E+01	9.19367E-02	-1.07093E-02	9.25584E-02	-6.64416	0
5.79045E+01	0.0450000017881393	1.7844523191452	9.41264E+01	9.41344E-02	-1.06866E-02	9.47390E-02	-6.47679	0
4.58160E+01	0.0450000017881393	1.7844523191452	9.65162E+01	9.57792E-02	-1.06242E-02	9.63666E-02	-6.3296	0
3.62512E+01	0.0450000017881393	1.7844523191452	9.83720E+01	9.66717E-02	-1.04131E-02	9.72309E-02	-6.14797	0
